Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 02:28:19,0 days 09:31:41
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 03:02:42,0 days 08:57:18
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 00:12:33,0 days 11:47:27
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 03:26:17,0 days 08:33:43
"(Timestamp('2023-02-26 21:00:00'), Timestamp('2023-02-27 09:00:00'))",0 days 05:52:39,0 days 06:07:21
"(Timestamp('2023-02-27 21:00:00'), Timestamp('2023-02-28 09:00:00'))",0 days 01:02:18,0 days 10:57:42
"(Timestamp('2023-02-28 21:00:00'), Timestamp('2023-03-01 09:00:00'))",0 days 02:15:31,0 days 09:44:29
"(Timestamp('2023-03-01 21:00:00'), Timestamp('2023-03-02 09:00:00'))",0 days 00:00:48,0 days 11:59:12
"(Timestamp('2023-03-02 21:00:00'), Timestamp('2023-03-03 09:00:00'))",0 days 00:50:43,0 days 11:09:17
"(Timestamp('2023-03-03 21:00:00'), Timestamp('2023-03-04 09:00:00'))",0 days 06:37:37,0 days 05:22:23
"(Timestamp('2023-03-04 21:00:00'), Timestamp('2023-03-05 09:00:00'))",0 days 02:20:27,0 days 09:39:33
"(Timestamp('2023-03-05 21:00:00'), Timestamp('2023-03-06 09:00:00'))",0 days 00:21:44,0 days 11:38:16
"(Timestamp('2023-03-06 21:00:00'), Timestamp('2023-03-07 09:00:00'))",0 days 00:01:27,0 days 11:58:33
"(Timestamp('2023-03-07 21:00:00'), Timestamp('2023-03-08 09:00:00'))",0 days 02:39:54,0 days 09:20:06
"(Timestamp('2023-03-08 21:00:00'), Timestamp('2023-03-09 01:46:56'))",0 days 02:40:59,0 days 02:05:57
