Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-09-22 21:00:00'), Timestamp('2023-09-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-23 21:00:00'), Timestamp('2023-09-24 09:00:00'))",0 days 02:00:27,0 days 09:59:33
"(Timestamp('2023-09-24 21:00:00'), Timestamp('2023-09-25 09:00:00'))",0 days 01:47:28,0 days 10:12:32
"(Timestamp('2023-09-25 21:00:00'), Timestamp('2023-09-26 09:00:00'))",0 days 02:44:48,0 days 09:15:12
"(Timestamp('2023-09-26 21:00:00'), Timestamp('2023-09-27 09:00:00'))",0 days 01:29:36,0 days 10:30:24
"(Timestamp('2023-09-27 21:00:00'), Timestamp('2023-09-28 09:00:00'))",0 days 02:51:52,0 days 09:08:08
"(Timestamp('2023-09-28 21:00:00'), Timestamp('2023-09-29 09:00:00'))",0 days 04:03:26,0 days 07:56:34
"(Timestamp('2023-09-29 21:00:00'), Timestamp('2023-09-30 09:00:00'))",0 days 04:43:59,0 days 07:16:01
"(Timestamp('2023-09-30 21:00:00'), Timestamp('2023-10-01 09:00:00'))",0 days 04:16:43,0 days 07:43:17
"(Timestamp('2023-10-01 21:00:00'), Timestamp('2023-10-02 09:00:00'))",0 days 04:44:47,0 days 07:15:13
"(Timestamp('2023-10-02 21:00:00'), Timestamp('2023-10-03 09:00:00'))",0 days 01:24:19,0 days 10:35:41
"(Timestamp('2023-10-03 21:00:00'), Timestamp('2023-10-04 09:00:00'))",0 days 02:43:17,0 days 09:16:43
"(Timestamp('2023-10-04 21:00:00'), Timestamp('2023-10-05 09:00:00'))",0 days 01:07:16,0 days 10:52:44
"(Timestamp('2023-10-05 21:00:00'), Timestamp('2023-10-06 09:00:00'))",0 days 01:17:27,0 days 10:42:33
"(Timestamp('2023-10-06 21:00:00'), Timestamp('2023-10-07 09:00:00'))",0 days 00:54:15,0 days 11:05:45
"(Timestamp('2023-10-07 21:00:00'), Timestamp('2023-10-08 09:00:00'))",0 days 05:38:50,0 days 06:21:10
"(Timestamp('2023-10-08 21:00:00'), Timestamp('2023-10-09 02:59:01'))",0 days 03:11:08,0 days 02:47:53
