Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-08-17 21:00:00'), Timestamp('2023-08-18 09:00:00'))",0 days 03:18:57,0 days 08:41:03
"(Timestamp('2023-08-18 21:00:00'), Timestamp('2023-08-19 09:00:00'))",0 days 03:27:20,0 days 08:32:40
"(Timestamp('2023-08-19 21:00:00'), Timestamp('2023-08-20 09:00:00'))",0 days 02:48:54,0 days 09:11:06
"(Timestamp('2023-08-20 21:00:00'), Timestamp('2023-08-21 09:00:00'))",0 days 04:18:55,0 days 07:41:05
"(Timestamp('2023-08-21 21:00:00'), Timestamp('2023-08-22 09:00:00'))",0 days 02:57:17,0 days 09:02:43
"(Timestamp('2023-08-22 21:00:00'), Timestamp('2023-08-23 09:00:00'))",0 days 00:58:47,0 days 11:01:13
"(Timestamp('2023-08-23 21:00:00'), Timestamp('2023-08-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-24 21:00:00'), Timestamp('2023-08-25 09:00:00'))",0 days 01:31:13,0 days 10:28:47
"(Timestamp('2023-08-25 21:00:00'), Timestamp('2023-08-26 09:00:00'))",0 days 00:01:29,0 days 11:58:31
"(Timestamp('2023-08-26 21:00:00'), Timestamp('2023-08-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-27 21:00:00'), Timestamp('2023-08-28 09:00:00'))",0 days 00:03:38,0 days 11:56:22
"(Timestamp('2023-08-28 21:00:00'), Timestamp('2023-08-29 09:00:00'))",0 days 00:23:15,0 days 11:36:45
"(Timestamp('2023-08-29 21:00:00'), Timestamp('2023-08-30 09:00:00'))",0 days 01:37:39,0 days 10:22:21
"(Timestamp('2023-08-30 21:00:00'), Timestamp('2023-08-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-31 21:00:00'), Timestamp('2023-09-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-01 21:00:00'), Timestamp('2023-09-02 09:00:00'))",0 days 00:01:01,0 days 11:58:59
"(Timestamp('2023-09-02 21:00:00'), Timestamp('2023-09-03 01:27:02'))",0 days 01:27:29,0 days 02:59:33
