Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-10 21:29:17'), Timestamp('2023-02-11 09:00:00'))",0 days 03:44:11,0 days 07:46:32
"(Timestamp('2023-02-11 21:00:00'), Timestamp('2023-02-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-12 21:00:00'), Timestamp('2023-02-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-13 21:00:00'), Timestamp('2023-02-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-14 21:00:00'), Timestamp('2023-02-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-15 21:00:00'), Timestamp('2023-02-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 00:05:53,0 days 11:54:07
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 04:25:56,0 days 07:34:04
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 04:55:30,0 days 07:04:30
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
