Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-10-04 21:00:00'), Timestamp('2023-10-05 09:00:00'))",0 days 00:14:00,0 days 11:46:00
"(Timestamp('2023-10-05 21:00:00'), Timestamp('2023-10-06 09:00:00'))",0 days 00:00:02,0 days 11:59:58
"(Timestamp('2023-10-06 21:00:00'), Timestamp('2023-10-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-07 21:00:00'), Timestamp('2023-10-08 09:00:00'))",0 days 00:00:02,0 days 11:59:58
"(Timestamp('2023-10-08 21:00:00'), Timestamp('2023-10-09 09:00:00'))",0 days 00:00:01,0 days 11:59:59
"(Timestamp('2023-10-09 21:00:00'), Timestamp('2023-10-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-10 21:00:00'), Timestamp('2023-10-11 09:00:00'))",0 days 00:00:03,0 days 11:59:57
"(Timestamp('2023-10-11 21:00:00'), Timestamp('2023-10-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-12 21:00:00'), Timestamp('2023-10-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-13 21:00:00'), Timestamp('2023-10-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-14 21:00:00'), Timestamp('2023-10-15 09:00:00'))",0 days 00:00:06,0 days 11:59:54
