Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-09-14 21:00:00'), Timestamp('2023-09-15 09:00:00'))",0 days 01:55:22,0 days 10:04:38
"(Timestamp('2023-09-15 21:00:00'), Timestamp('2023-09-16 09:00:00'))",0 days 04:38:43,0 days 07:21:17
"(Timestamp('2023-09-16 21:00:00'), Timestamp('2023-09-17 09:00:00'))",0 days 02:36:03,0 days 09:23:57
"(Timestamp('2023-09-17 21:00:00'), Timestamp('2023-09-18 09:00:00'))",0 days 02:57:18,0 days 09:02:42
"(Timestamp('2023-09-18 21:00:00'), Timestamp('2023-09-19 09:00:00'))",0 days 00:03:47,0 days 11:56:13
"(Timestamp('2023-09-19 21:00:00'), Timestamp('2023-09-20 09:00:00'))",0 days 00:00:29,0 days 11:59:31
"(Timestamp('2023-09-20 21:00:00'), Timestamp('2023-09-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-21 21:00:00'), Timestamp('2023-09-22 09:00:00'))",0 days 00:45:51,0 days 11:14:09
"(Timestamp('2023-09-22 21:00:00'), Timestamp('2023-09-23 09:00:00'))",0 days 00:55:44,0 days 11:04:16
"(Timestamp('2023-09-23 21:00:00'), Timestamp('2023-09-24 09:00:00'))",0 days 00:11:14,0 days 11:48:46
"(Timestamp('2023-09-24 21:00:00'), Timestamp('2023-09-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-25 21:00:00'), Timestamp('2023-09-26 09:00:00'))",0 days 01:55:07,0 days 10:04:53
"(Timestamp('2023-09-26 21:00:00'), Timestamp('2023-09-27 09:00:00'))",0 days 00:04:54,0 days 11:55:06
"(Timestamp('2023-09-27 21:00:00'), Timestamp('2023-09-28 09:00:00'))",0 days 02:34:18,0 days 09:25:42
"(Timestamp('2023-09-28 21:00:00'), Timestamp('2023-09-29 09:00:00'))",0 days 01:11:32,0 days 10:48:28
"(Timestamp('2023-09-29 21:00:00'), Timestamp('2023-09-30 09:00:00'))",0 days 00:00:03,0 days 11:59:57
"(Timestamp('2023-09-30 21:00:00'), Timestamp('2023-10-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-01 21:00:00'), Timestamp('2023-10-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-02 21:00:00'), Timestamp('2023-10-03 09:00:00'))",0 days 00:00:03,0 days 11:59:57
"(Timestamp('2023-10-03 21:00:00'), Timestamp('2023-10-04 09:00:00'))",0 days 00:24:57,0 days 11:35:03
"(Timestamp('2023-10-04 21:00:00'), Timestamp('2023-10-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-05 21:00:00'), Timestamp('2023-10-06 09:00:00'))",0 days 00:00:03,0 days 11:59:57
"(Timestamp('2023-10-06 21:00:00'), Timestamp('2023-10-07 09:00:00'))",0 days 00:00:02,0 days 11:59:58
"(Timestamp('2023-10-07 21:00:00'), Timestamp('2023-10-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-08 21:00:00'), Timestamp('2023-10-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-09 21:00:00'), Timestamp('2023-10-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-10 21:00:00'), Timestamp('2023-10-11 09:00:00'))",0 days 00:00:09,0 days 11:59:51
"(Timestamp('2023-10-11 21:00:00'), Timestamp('2023-10-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-10-12 21:00:00'), Timestamp('2023-10-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
