Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-06-07 21:00:00'), Timestamp('2023-06-08 09:00:00'))",0 days 03:10:30,0 days 08:49:30
"(Timestamp('2023-06-08 21:00:00'), Timestamp('2023-06-09 09:00:00'))",0 days 03:14:32,0 days 08:45:28
"(Timestamp('2023-06-09 21:00:00'), Timestamp('2023-06-10 09:00:00'))",0 days 06:59:00,0 days 05:01:00
"(Timestamp('2023-06-10 21:00:00'), Timestamp('2023-06-11 09:00:00'))",0 days 02:43:31,0 days 09:16:29
"(Timestamp('2023-06-11 21:00:00'), Timestamp('2023-06-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-12 21:00:00'), Timestamp('2023-06-13 09:00:00'))",0 days 02:44:17,0 days 09:15:43
"(Timestamp('2023-06-13 21:00:00'), Timestamp('2023-06-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-14 21:00:00'), Timestamp('2023-06-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-15 21:00:00'), Timestamp('2023-06-16 09:00:00'))",0 days 00:05:42,0 days 11:54:18
"(Timestamp('2023-06-16 21:00:00'), Timestamp('2023-06-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-17 21:00:00'), Timestamp('2023-06-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-18 21:00:00'), Timestamp('2023-06-19 09:00:00'))",0 days 00:22:10,0 days 11:37:50
"(Timestamp('2023-06-19 21:00:00'), Timestamp('2023-06-20 07:09:39'))",0 days 04:09:38,0 days 06:00:01
