Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-08 21:00:00'), Timestamp('2023-02-09 09:00:00'))",0 days 04:22:07,0 days 07:37:53
"(Timestamp('2023-02-09 21:00:00'), Timestamp('2023-02-10 09:00:00'))",0 days 00:45:33,0 days 11:14:27
"(Timestamp('2023-02-10 21:00:00'), Timestamp('2023-02-11 09:00:00'))",0 days 00:19:55,0 days 11:40:05
"(Timestamp('2023-02-11 21:00:00'), Timestamp('2023-02-12 09:00:00'))",0 days 00:00:10,0 days 11:59:50
"(Timestamp('2023-02-12 21:00:00'), Timestamp('2023-02-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-13 21:00:00'), Timestamp('2023-02-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-14 21:00:00'), Timestamp('2023-02-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-15 21:00:00'), Timestamp('2023-02-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 00:01:22,0 days 11:58:38
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 00:00:10,0 days 11:59:50
