Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-10 21:00:00'), Timestamp('2023-02-11 09:00:00'))",0 days 01:39:38,0 days 10:20:22
"(Timestamp('2023-02-11 21:00:00'), Timestamp('2023-02-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-12 21:00:00'), Timestamp('2023-02-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-13 21:00:00'), Timestamp('2023-02-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-14 21:00:00'), Timestamp('2023-02-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-15 21:00:00'), Timestamp('2023-02-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 00:11:46,0 days 11:48:14
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 01:25:35,0 days 10:34:25
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 00:12:08,0 days 11:47:52
"(Timestamp('2023-02-26 21:00:00'), Timestamp('2023-02-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-27 21:00:00'), Timestamp('2023-02-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-28 21:00:00'), Timestamp('2023-02-28 21:41:11'))",0 days 00:13:56,0 days 00:27:15
