Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-03-22 21:00:00'), Timestamp('2023-03-23 09:00:00'))",0 days 00:02:00,0 days 11:58:00
"(Timestamp('2023-03-23 21:00:00'), Timestamp('2023-03-24 09:00:00'))",0 days 00:48:07,0 days 11:11:53
"(Timestamp('2023-03-24 21:00:00'), Timestamp('2023-03-25 09:00:00'))",0 days 00:16:25,0 days 11:43:35
"(Timestamp('2023-03-25 21:00:00'), Timestamp('2023-03-26 09:00:00'))",0 days 00:55:23,0 days 11:04:37
"(Timestamp('2023-03-26 21:00:00'), Timestamp('2023-03-27 09:00:00'))",0 days 00:02:02,0 days 11:57:58
"(Timestamp('2023-03-27 21:00:00'), Timestamp('2023-03-28 09:00:00'))",0 days 01:28:22,0 days 10:31:38
"(Timestamp('2023-03-28 21:00:00'), Timestamp('2023-03-29 09:00:00'))",0 days 00:42:53,0 days 11:17:07
"(Timestamp('2023-03-29 21:00:00'), Timestamp('2023-03-30 09:00:00'))",0 days 00:39:00,0 days 11:21:00
"(Timestamp('2023-03-30 21:00:00'), Timestamp('2023-03-31 09:00:00'))",0 days 01:17:50,0 days 10:42:10
"(Timestamp('2023-03-31 21:00:00'), Timestamp('2023-04-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-01 21:00:00'), Timestamp('2023-04-02 09:00:00'))",0 days 00:00:48,0 days 11:59:12
"(Timestamp('2023-04-02 21:00:00'), Timestamp('2023-04-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-03 21:00:00'), Timestamp('2023-04-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-04 21:00:00'), Timestamp('2023-04-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-05 21:00:00'), Timestamp('2023-04-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-06 21:00:00'), Timestamp('2023-04-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-07 21:00:00'), Timestamp('2023-04-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-08 21:00:00'), Timestamp('2023-04-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-09 21:00:00'), Timestamp('2023-04-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-10 21:00:00'), Timestamp('2023-04-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-11 21:00:00'), Timestamp('2023-04-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-12 21:00:00'), Timestamp('2023-04-13 09:00:00'))",0 days 00:26:23,0 days 11:33:37
"(Timestamp('2023-04-13 21:00:00'), Timestamp('2023-04-14 09:00:00'))",0 days 00:00:07,0 days 11:59:53
"(Timestamp('2023-04-14 21:00:00'), Timestamp('2023-04-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-15 21:00:00'), Timestamp('2023-04-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-16 21:00:00'), Timestamp('2023-04-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-17 21:00:00'), Timestamp('2023-04-18 09:00:00'))",0 days 00:08:31,0 days 11:51:29
"(Timestamp('2023-04-18 21:00:00'), Timestamp('2023-04-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-19 21:00:00'), Timestamp('2023-04-20 09:00:00'))",0 days 00:00:22,0 days 11:59:38
"(Timestamp('2023-04-20 21:00:00'), Timestamp('2023-04-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-21 21:00:00'), Timestamp('2023-04-22 09:00:00'))",0 days 00:18:24,0 days 11:41:36
"(Timestamp('2023-04-22 21:00:00'), Timestamp('2023-04-23 09:00:00'))",0 days 00:00:07,0 days 11:59:53
"(Timestamp('2023-04-23 21:00:00'), Timestamp('2023-04-24 09:00:00'))",0 days 00:00:09,0 days 11:59:51
"(Timestamp('2023-04-24 21:00:00'), Timestamp('2023-04-25 09:00:00'))",0 days 01:00:06,0 days 10:59:54
"(Timestamp('2023-04-25 21:00:00'), Timestamp('2023-04-26 09:00:00'))",0 days 01:01:34,0 days 10:58:26
