Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-15 21:00:00'), Timestamp('2022-11-16 09:00:00'))",0 days 00:43:17,0 days 11:16:43
"(Timestamp('2022-11-16 21:00:00'), Timestamp('2022-11-17 09:00:00'))",0 days 02:03:27,0 days 09:56:33
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 04:58:32,0 days 07:01:28
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 00:58:14,0 days 11:01:46
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 00:00:07,0 days 11:59:53
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 09:00:00'))",0 days 00:33:12,0 days 11:26:48
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 01:52:09,0 days 10:07:51
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 03:28:15,0 days 08:31:45
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 02:46:23,0 days 09:13:37
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 05:13:34,0 days 06:46:26
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 01:50:23,0 days 10:09:37
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 02:20:08,0 days 09:39:52
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 09:00:00'))",0 days 01:34:58,0 days 10:25:02
"(Timestamp('2022-11-29 21:00:00'), Timestamp('2022-11-30 09:00:00'))",0 days 01:51:05,0 days 10:08:55
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 03:57:25,0 days 08:02:35
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 02:57:14,0 days 09:02:46
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 00:09:48,0 days 11:50:12
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-14 21:00:00'), Timestamp('2022-12-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-15 21:00:00'), Timestamp('2022-12-16 09:00:00'))",0 days 00:00:22,0 days 11:59:38
"(Timestamp('2022-12-16 21:00:00'), Timestamp('2022-12-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-17 21:00:00'), Timestamp('2022-12-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-18 21:00:00'), Timestamp('2022-12-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-19 21:00:00'), Timestamp('2022-12-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-20 21:00:00'), Timestamp('2022-12-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-21 21:00:00'), Timestamp('2022-12-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-22 21:00:00'), Timestamp('2022-12-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-23 21:00:00'), Timestamp('2022-12-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-24 21:00:00'), Timestamp('2022-12-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-25 21:00:00'), Timestamp('2022-12-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-26 21:00:00'), Timestamp('2022-12-27 09:00:00'))",0 days 00:29:18,0 days 11:30:42
"(Timestamp('2022-12-27 21:00:00'), Timestamp('2022-12-28 09:00:00'))",0 days 00:02:25,0 days 11:57:35
"(Timestamp('2022-12-28 21:00:00'), Timestamp('2022-12-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-29 21:00:00'), Timestamp('2022-12-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-30 21:00:00'), Timestamp('2022-12-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-31 21:00:00'), Timestamp('2023-01-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-01 21:00:00'), Timestamp('2023-01-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-02 21:00:00'), Timestamp('2023-01-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-03 21:00:00'), Timestamp('2023-01-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-04 21:00:00'), Timestamp('2023-01-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-05 21:00:00'), Timestamp('2023-01-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-06 21:00:00'), Timestamp('2023-01-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-07 21:00:00'), Timestamp('2023-01-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-08 21:00:00'), Timestamp('2023-01-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-09 21:00:00'), Timestamp('2023-01-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-10 21:00:00'), Timestamp('2023-01-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-11 21:00:00'), Timestamp('2023-01-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
