Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-08-01 22:37:56'), Timestamp('2023-08-02 09:00:00'))",0 days 05:07:21,0 days 05:14:43
"(Timestamp('2023-08-02 21:00:00'), Timestamp('2023-08-03 09:00:00'))",0 days 04:04:59,0 days 07:55:01
"(Timestamp('2023-08-03 21:00:00'), Timestamp('2023-08-04 09:00:00'))",0 days 10:33:24,0 days 01:26:36
"(Timestamp('2023-08-04 21:00:00'), Timestamp('2023-08-05 09:00:00'))",0 days 02:14:05,0 days 09:45:55
"(Timestamp('2023-08-05 21:00:00'), Timestamp('2023-08-06 09:00:00'))",0 days 03:20:52,0 days 08:39:08
"(Timestamp('2023-08-06 21:00:00'), Timestamp('2023-08-07 09:00:00'))",0 days 02:57:55,0 days 09:02:05
"(Timestamp('2023-08-07 21:00:00'), Timestamp('2023-08-08 09:00:00'))",0 days 00:43:09,0 days 11:16:51
"(Timestamp('2023-08-08 21:00:00'), Timestamp('2023-08-09 09:00:00'))",0 days 06:40:16,0 days 05:19:44
"(Timestamp('2023-08-09 21:00:00'), Timestamp('2023-08-10 09:00:00'))",0 days 01:35:39,0 days 10:24:21
"(Timestamp('2023-08-10 21:00:00'), Timestamp('2023-08-11 09:00:00'))",0 days 02:49:21,0 days 09:10:39
"(Timestamp('2023-08-11 21:00:00'), Timestamp('2023-08-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-12 21:00:00'), Timestamp('2023-08-13 09:00:00'))",0 days 00:15:48,0 days 11:44:12
"(Timestamp('2023-08-13 21:00:00'), Timestamp('2023-08-14 09:00:00'))",0 days 00:00:31,0 days 11:59:29
"(Timestamp('2023-08-14 21:00:00'), Timestamp('2023-08-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-15 21:00:00'), Timestamp('2023-08-16 02:08:25'))",0 days 01:21:57,0 days 03:46:28
