Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 00:44:45,0 days 11:15:15
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 03:34:31,0 days 08:25:29
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 06:20:09,0 days 05:39:51
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 03:13:28,0 days 08:46:32
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 09:00:00'))",0 days 02:56:31,0 days 09:03:29
"(Timestamp('2022-11-29 21:00:00'), Timestamp('2022-11-30 09:00:00'))",0 days 02:10:31,0 days 09:49:29
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 03:08:07,0 days 08:51:53
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 01:45:04,0 days 10:14:56
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 06:49:12,0 days 05:10:48
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 00:55:49,0 days 11:04:11
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 03:41:19,0 days 08:18:41
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:10:25,0 days 11:49:35
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 02:43:15'))",0 days 00:04:43,0 days 05:38:32
