Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-08-08 21:00:00'), Timestamp('2023-08-09 09:00:00'))",0 days 02:24:05,0 days 09:35:55
"(Timestamp('2023-08-09 21:00:00'), Timestamp('2023-08-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-10 21:00:00'), Timestamp('2023-08-11 09:00:00'))",0 days 00:00:44,0 days 11:59:16
"(Timestamp('2023-08-11 21:00:00'), Timestamp('2023-08-12 09:00:00'))",0 days 03:46:04,0 days 08:13:56
"(Timestamp('2023-08-12 21:00:00'), Timestamp('2023-08-13 09:00:00'))",0 days 02:51:54,0 days 09:08:06
"(Timestamp('2023-08-13 21:00:00'), Timestamp('2023-08-14 09:00:00'))",0 days 00:00:12,0 days 11:59:48
"(Timestamp('2023-08-14 21:00:00'), Timestamp('2023-08-15 09:00:00'))",0 days 03:13:51,0 days 08:46:09
"(Timestamp('2023-08-15 21:00:00'), Timestamp('2023-08-16 09:00:00'))",0 days 01:31:31,0 days 10:28:29
"(Timestamp('2023-08-16 21:00:00'), Timestamp('2023-08-17 09:00:00'))",0 days 02:04:42,0 days 09:55:18
"(Timestamp('2023-08-17 21:00:00'), Timestamp('2023-08-18 09:00:00'))",0 days 00:57:40,0 days 11:02:20
"(Timestamp('2023-08-18 21:00:00'), Timestamp('2023-08-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-19 21:00:00'), Timestamp('2023-08-20 09:00:00'))",0 days 00:01:35,0 days 11:58:25
"(Timestamp('2023-08-20 21:00:00'), Timestamp('2023-08-21 09:00:00'))",0 days 02:10:54,0 days 09:49:06
"(Timestamp('2023-08-21 21:00:00'), Timestamp('2023-08-22 09:00:00'))",0 days 00:44:48,0 days 11:15:12
"(Timestamp('2023-08-22 21:00:00'), Timestamp('2023-08-23 09:00:00'))",0 days 02:09:25,0 days 09:50:35
"(Timestamp('2023-08-23 21:00:00'), Timestamp('2023-08-24 09:00:00'))",0 days 03:55:53,0 days 08:04:07
"(Timestamp('2023-08-24 21:00:00'), Timestamp('2023-08-25 09:00:00'))",0 days 04:55:24,0 days 07:04:36
"(Timestamp('2023-08-25 21:00:00'), Timestamp('2023-08-26 09:00:00'))",0 days 01:17:26,0 days 10:42:34
"(Timestamp('2023-08-26 21:00:00'), Timestamp('2023-08-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-27 21:00:00'), Timestamp('2023-08-28 09:00:00'))",0 days 00:34:30,0 days 11:25:30
"(Timestamp('2023-08-28 21:00:00'), Timestamp('2023-08-29 09:00:00'))",0 days 01:58:36,0 days 10:01:24
