Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-07-19 21:00:00'), Timestamp('2023-07-20 09:00:00'))",0 days 02:13:26,0 days 09:46:34
"(Timestamp('2023-07-20 21:00:00'), Timestamp('2023-07-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-21 21:00:00'), Timestamp('2023-07-22 09:00:00'))",0 days 01:00:36,0 days 10:59:24
"(Timestamp('2023-07-22 21:00:00'), Timestamp('2023-07-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-23 21:00:00'), Timestamp('2023-07-24 09:00:00'))",0 days 02:31:56,0 days 09:28:04
"(Timestamp('2023-07-24 21:00:00'), Timestamp('2023-07-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-25 21:00:00'), Timestamp('2023-07-26 09:00:00'))",0 days 01:01:29,0 days 10:58:31
"(Timestamp('2023-07-26 21:00:00'), Timestamp('2023-07-27 09:00:00'))",0 days 04:09:36,0 days 07:50:24
"(Timestamp('2023-07-27 21:00:00'), Timestamp('2023-07-28 09:00:00'))",0 days 02:39:23,0 days 09:20:37
"(Timestamp('2023-07-28 21:00:00'), Timestamp('2023-07-29 09:00:00'))",0 days 01:14:33,0 days 10:45:27
"(Timestamp('2023-07-29 21:00:00'), Timestamp('2023-07-30 09:00:00'))",0 days 00:47:04,0 days 11:12:56
"(Timestamp('2023-07-30 21:00:00'), Timestamp('2023-07-31 09:00:00'))",0 days 00:03:00,0 days 11:57:00
"(Timestamp('2023-07-31 21:00:00'), Timestamp('2023-08-01 09:00:00'))",0 days 01:05:22,0 days 10:54:38
"(Timestamp('2023-08-01 21:00:00'), Timestamp('2023-08-02 09:00:00'))",0 days 02:05:42,0 days 09:54:18
"(Timestamp('2023-08-02 21:00:00'), Timestamp('2023-08-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-03 21:00:00'), Timestamp('2023-08-04 09:00:00'))",0 days 01:53:22,0 days 10:06:38
"(Timestamp('2023-08-04 21:00:00'), Timestamp('2023-08-05 09:00:00'))",0 days 01:07:48,0 days 10:52:12
"(Timestamp('2023-08-05 21:00:00'), Timestamp('2023-08-06 09:00:00'))",0 days 00:56:10,0 days 11:03:50
"(Timestamp('2023-08-06 21:00:00'), Timestamp('2023-08-07 09:00:00'))",0 days 00:00:04,0 days 11:59:56
"(Timestamp('2023-08-07 21:00:00'), Timestamp('2023-08-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-08 21:00:00'), Timestamp('2023-08-09 09:00:00'))",0 days 00:23:33,0 days 11:36:27
"(Timestamp('2023-08-09 21:00:00'), Timestamp('2023-08-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-10 21:00:00'), Timestamp('2023-08-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-11 21:00:00'), Timestamp('2023-08-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-12 21:00:00'), Timestamp('2023-08-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-13 21:00:00'), Timestamp('2023-08-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-14 21:00:00'), Timestamp('2023-08-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-15 21:00:00'), Timestamp('2023-08-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-16 21:00:00'), Timestamp('2023-08-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-17 21:00:00'), Timestamp('2023-08-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-18 21:00:00'), Timestamp('2023-08-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-19 21:00:00'), Timestamp('2023-08-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-20 21:00:00'), Timestamp('2023-08-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-21 21:00:00'), Timestamp('2023-08-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-22 21:00:00'), Timestamp('2023-08-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-23 21:00:00'), Timestamp('2023-08-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-24 21:00:00'), Timestamp('2023-08-25 09:00:00'))",0 days 00:00:01,0 days 11:59:59
"(Timestamp('2023-08-25 21:00:00'), Timestamp('2023-08-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-26 21:00:00'), Timestamp('2023-08-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-27 21:00:00'), Timestamp('2023-08-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-28 21:00:00'), Timestamp('2023-08-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-29 21:00:00'), Timestamp('2023-08-30 09:00:00'))",0 days 00:16:39,0 days 11:43:21
"(Timestamp('2023-08-30 21:00:00'), Timestamp('2023-08-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-31 21:00:00'), Timestamp('2023-09-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-01 21:00:00'), Timestamp('2023-09-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-02 21:00:00'), Timestamp('2023-09-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-03 21:00:00'), Timestamp('2023-09-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-04 21:00:00'), Timestamp('2023-09-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-05 21:00:00'), Timestamp('2023-09-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-06 21:00:00'), Timestamp('2023-09-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-07 21:00:00'), Timestamp('2023-09-08 09:00:00'))",0 days 00:00:23,0 days 11:59:37
"(Timestamp('2023-09-08 21:00:00'), Timestamp('2023-09-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-09 21:00:00'), Timestamp('2023-09-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-10 21:00:00'), Timestamp('2023-09-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-11 21:00:00'), Timestamp('2023-09-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-12 21:00:00'), Timestamp('2023-09-13 09:00:00'))",0 days 00:00:37,0 days 11:59:23
"(Timestamp('2023-09-13 21:00:00'), Timestamp('2023-09-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-14 21:00:00'), Timestamp('2023-09-15 09:00:00'))",0 days 00:15:58,0 days 11:44:02
"(Timestamp('2023-09-15 21:00:00'), Timestamp('2023-09-16 09:00:00'))",0 days 00:14:18,0 days 11:45:42
"(Timestamp('2023-09-16 21:00:00'), Timestamp('2023-09-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-17 21:00:00'), Timestamp('2023-09-18 09:00:00'))",0 days 02:26:43,0 days 09:33:17
"(Timestamp('2023-09-18 21:00:00'), Timestamp('2023-09-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-19 21:00:00'), Timestamp('2023-09-20 09:00:00'))",0 days 02:03:18,0 days 09:56:42
"(Timestamp('2023-09-20 21:00:00'), Timestamp('2023-09-21 09:00:00'))",0 days 01:45:41,0 days 10:14:19
"(Timestamp('2023-09-21 21:00:00'), Timestamp('2023-09-22 09:00:00'))",0 days 00:52:49,0 days 11:07:11
"(Timestamp('2023-09-22 21:00:00'), Timestamp('2023-09-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-23 21:00:00'), Timestamp('2023-09-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-24 21:00:00'), Timestamp('2023-09-25 09:00:00'))",0 days 03:04:49,0 days 08:55:11
"(Timestamp('2023-09-25 21:00:00'), Timestamp('2023-09-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-26 21:00:00'), Timestamp('2023-09-27 09:00:00'))",0 days 01:53:39,0 days 10:06:21
"(Timestamp('2023-09-27 21:00:00'), Timestamp('2023-09-28 09:00:00'))",0 days 01:33:50,0 days 10:26:10
"(Timestamp('2023-09-28 21:00:00'), Timestamp('2023-09-29 09:00:00'))",0 days 01:31:02,0 days 10:28:58
"(Timestamp('2023-09-29 21:00:00'), Timestamp('2023-09-30 09:00:00'))",0 days 07:05:16,0 days 04:54:44
"(Timestamp('2023-09-30 21:00:00'), Timestamp('2023-10-01 09:00:00'))",0 days 00:00:58,0 days 11:59:02
"(Timestamp('2023-10-01 21:00:00'), Timestamp('2023-10-02 09:00:00'))",0 days 00:50:30,0 days 11:09:30
"(Timestamp('2023-10-02 21:00:00'), Timestamp('2023-10-03 09:00:00'))",0 days 00:00:09,0 days 11:59:51
"(Timestamp('2023-10-03 21:00:00'), Timestamp('2023-10-04 09:00:00'))",0 days 00:00:09,0 days 11:59:51
