Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-03 22:28:57'), Timestamp('2022-11-04 09:00:00'))",0 days 02:17:57,0 days 08:13:06
"(Timestamp('2022-11-04 21:00:00'), Timestamp('2022-11-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-05 21:00:00'), Timestamp('2022-11-06 09:00:00'))",0 days 03:10:08,0 days 08:49:52
"(Timestamp('2022-11-06 21:00:00'), Timestamp('2022-11-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-07 21:00:00'), Timestamp('2022-11-08 09:00:00'))",0 days 00:00:40,0 days 11:59:20
"(Timestamp('2022-11-08 21:00:00'), Timestamp('2022-11-09 09:00:00'))",0 days 00:50:52,0 days 11:09:08
"(Timestamp('2022-11-09 21:00:00'), Timestamp('2022-11-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-10 21:00:00'), Timestamp('2022-11-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-11 21:00:00'), Timestamp('2022-11-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-12 21:00:00'), Timestamp('2022-11-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-13 21:00:00'), Timestamp('2022-11-14 09:00:00'))",0 days 03:14:58,0 days 08:45:02
"(Timestamp('2022-11-14 21:00:00'), Timestamp('2022-11-15 09:00:00'))",0 days 05:01:09,0 days 06:58:51
"(Timestamp('2022-11-15 21:00:00'), Timestamp('2022-11-16 09:00:00'))",0 days 06:19:34,0 days 05:40:26
"(Timestamp('2022-11-16 21:00:00'), Timestamp('2022-11-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 04:33:18,0 days 07:26:42
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 03:41:11,0 days 08:18:49
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 02:39:17,0 days 09:20:43
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 09:00:00'))",0 days 05:48:15,0 days 06:11:45
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 01:12:56,0 days 10:47:04
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 05:45:58'))",0 days 04:24:05,0 days 04:21:53
