Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 00:07:31,0 days 11:52:29
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 00:00:10,0 days 11:59:50
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:00:47,0 days 11:59:13
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-14 21:00:00'), Timestamp('2022-12-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-15 21:00:00'), Timestamp('2022-12-16 09:00:00'))",0 days 00:00:42,0 days 11:59:18
"(Timestamp('2022-12-16 21:00:00'), Timestamp('2022-12-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-17 21:00:00'), Timestamp('2022-12-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-18 21:00:00'), Timestamp('2022-12-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-19 21:00:00'), Timestamp('2022-12-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-20 21:00:00'), Timestamp('2022-12-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-21 21:00:00'), Timestamp('2022-12-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-22 21:00:00'), Timestamp('2022-12-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-23 21:00:00'), Timestamp('2022-12-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-24 21:00:00'), Timestamp('2022-12-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-25 21:00:00'), Timestamp('2022-12-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-26 21:00:00'), Timestamp('2022-12-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-27 21:00:00'), Timestamp('2022-12-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-28 21:00:00'), Timestamp('2022-12-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-29 21:00:00'), Timestamp('2022-12-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-30 21:00:00'), Timestamp('2022-12-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-31 21:00:00'), Timestamp('2023-01-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-01 21:00:00'), Timestamp('2023-01-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-02 21:00:00'), Timestamp('2023-01-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-03 21:00:00'), Timestamp('2023-01-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-04 21:00:00'), Timestamp('2023-01-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-05 21:00:00'), Timestamp('2023-01-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-06 21:00:00'), Timestamp('2023-01-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-07 21:00:00'), Timestamp('2023-01-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-08 21:00:00'), Timestamp('2023-01-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-09 21:00:00'), Timestamp('2023-01-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-10 21:00:00'), Timestamp('2023-01-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-11 21:00:00'), Timestamp('2023-01-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
