Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-03 21:00:00'), Timestamp('2023-02-04 09:00:00'))",0 days 03:38:39,0 days 08:21:21
"(Timestamp('2023-02-04 21:00:00'), Timestamp('2023-02-05 09:00:00'))",0 days 04:46:07,0 days 07:13:53
"(Timestamp('2023-02-05 21:00:00'), Timestamp('2023-02-06 09:00:00'))",0 days 01:05:51,0 days 10:54:09
"(Timestamp('2023-02-06 21:00:00'), Timestamp('2023-02-07 09:00:00'))",0 days 03:44:00,0 days 08:16:00
"(Timestamp('2023-02-07 21:00:00'), Timestamp('2023-02-08 09:00:00'))",0 days 00:00:15,0 days 11:59:45
"(Timestamp('2023-02-08 21:00:00'), Timestamp('2023-02-09 09:00:00'))",0 days 05:23:26,0 days 06:36:34
"(Timestamp('2023-02-09 21:00:00'), Timestamp('2023-02-10 09:00:00'))",0 days 00:00:35,0 days 11:59:25
"(Timestamp('2023-02-10 21:00:00'), Timestamp('2023-02-11 09:00:00'))",0 days 00:01:53,0 days 11:58:07
"(Timestamp('2023-02-11 21:00:00'), Timestamp('2023-02-12 02:02:24'))",0 days 04:13:13,0 days 00:49:11
