Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-03 21:00:00'), Timestamp('2022-11-04 09:00:00'))",0 days 02:54:38,0 days 09:05:22
"(Timestamp('2022-11-04 21:00:00'), Timestamp('2022-11-05 09:00:00'))",0 days 00:49:47,0 days 11:10:13
"(Timestamp('2022-11-05 21:00:00'), Timestamp('2022-11-06 09:00:00'))",0 days 03:24:15,0 days 08:35:45
"(Timestamp('2022-11-06 21:00:00'), Timestamp('2022-11-07 09:00:00'))",0 days 02:44:38,0 days 09:15:22
"(Timestamp('2022-11-07 21:00:00'), Timestamp('2022-11-08 09:00:00'))",0 days 00:01:03,0 days 11:58:57
"(Timestamp('2022-11-08 21:00:00'), Timestamp('2022-11-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-09 21:00:00'), Timestamp('2022-11-10 09:00:00'))",0 days 00:00:26,0 days 11:59:34
"(Timestamp('2022-11-10 21:00:00'), Timestamp('2022-11-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-11 21:00:00'), Timestamp('2022-11-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-12 21:00:00'), Timestamp('2022-11-13 09:00:00'))",0 days 00:00:09,0 days 11:59:51
"(Timestamp('2022-11-13 21:00:00'), Timestamp('2022-11-14 09:00:00'))",0 days 00:50:26,0 days 11:09:34
"(Timestamp('2022-11-14 21:00:00'), Timestamp('2022-11-15 09:00:00'))",0 days 01:54:00,0 days 10:06:00
"(Timestamp('2022-11-15 21:00:00'), Timestamp('2022-11-16 09:00:00'))",0 days 01:57:23,0 days 10:02:37
"(Timestamp('2022-11-16 21:00:00'), Timestamp('2022-11-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 04:10:59,0 days 07:49:01
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 00:00:08,0 days 11:59:52
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 00:00:02,0 days 11:59:58
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 00:59:19'))",0 days 03:39:32,0 days 00:19:47
