Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-01-19 21:00:00'), Timestamp('2023-01-20 09:00:00'))",0 days 06:18:23,0 days 05:41:37
"(Timestamp('2023-01-20 21:00:00'), Timestamp('2023-01-21 09:00:00'))",0 days 04:11:03,0 days 07:48:57
"(Timestamp('2023-01-21 21:00:00'), Timestamp('2023-01-22 09:00:00'))",0 days 00:00:07,0 days 11:59:53
"(Timestamp('2023-01-22 21:00:00'), Timestamp('2023-01-23 09:00:00'))",0 days 01:21:16,0 days 10:38:44
"(Timestamp('2023-01-23 21:00:00'), Timestamp('2023-01-24 09:00:00'))",0 days 04:23:28,0 days 07:36:32
"(Timestamp('2023-01-24 21:00:00'), Timestamp('2023-01-25 09:00:00'))",0 days 03:35:38,0 days 08:24:22
"(Timestamp('2023-01-25 21:00:00'), Timestamp('2023-01-26 09:00:00'))",0 days 01:23:08,0 days 10:36:52
"(Timestamp('2023-01-26 21:00:00'), Timestamp('2023-01-27 09:00:00'))",0 days 03:31:47,0 days 08:28:13
"(Timestamp('2023-01-27 21:00:00'), Timestamp('2023-01-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-28 21:00:00'), Timestamp('2023-01-29 09:00:00'))",0 days 00:00:32,0 days 11:59:28
"(Timestamp('2023-01-29 21:00:00'), Timestamp('2023-01-30 09:00:00'))",0 days 05:24:25,0 days 06:35:35
