Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-15 21:00:00'), Timestamp('2023-02-16 09:00:00'))",0 days 02:58:50,0 days 09:01:10
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 04:55:36,0 days 07:04:24
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 02:09:03,0 days 09:50:57
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 01:15:00,0 days 10:45:00
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 05:35:40,0 days 06:24:20
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 01:12:09,0 days 10:47:51
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 06:26:29,0 days 05:33:31
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 00:19:42,0 days 11:40:18
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 00:37:25,0 days 11:22:35
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 04:52:29,0 days 07:07:31
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 04:10:54,0 days 07:49:06
"(Timestamp('2023-02-26 21:00:00'), Timestamp('2023-02-27 09:00:00'))",0 days 02:12:13,0 days 09:47:47
"(Timestamp('2023-02-27 21:00:00'), Timestamp('2023-02-28 09:00:00'))",0 days 03:12:59,0 days 08:47:01
"(Timestamp('2023-02-28 21:00:00'), Timestamp('2023-03-01 09:00:00'))",0 days 01:49:30,0 days 10:10:30
"(Timestamp('2023-03-01 21:00:00'), Timestamp('2023-03-02 09:00:00'))",0 days 03:00:43,0 days 08:59:17
"(Timestamp('2023-03-02 21:00:00'), Timestamp('2023-03-03 09:00:00'))",0 days 01:47:11,0 days 10:12:49
"(Timestamp('2023-03-03 21:00:00'), Timestamp('2023-03-04 06:12:17'))",0 days 02:35:38,0 days 06:36:39
