Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-03 21:00:00'), Timestamp('2022-11-04 09:00:00'))",0 days 02:12:52,0 days 09:47:08
"(Timestamp('2022-11-04 21:00:00'), Timestamp('2022-11-05 09:00:00'))",0 days 04:12:39,0 days 07:47:21
"(Timestamp('2022-11-05 21:00:00'), Timestamp('2022-11-06 09:00:00'))",0 days 00:01:44,0 days 11:58:16
"(Timestamp('2022-11-06 21:00:00'), Timestamp('2022-11-07 09:00:00'))",0 days 01:15:08,0 days 10:44:52
"(Timestamp('2022-11-07 21:00:00'), Timestamp('2022-11-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-08 21:00:00'), Timestamp('2022-11-09 09:00:00'))",0 days 01:58:20,0 days 10:01:40
"(Timestamp('2022-11-09 21:00:00'), Timestamp('2022-11-10 09:00:00'))",0 days 00:06:33,0 days 11:53:27
"(Timestamp('2022-11-10 21:00:00'), Timestamp('2022-11-11 09:00:00'))",0 days 00:25:51,0 days 11:34:09
"(Timestamp('2022-11-11 21:00:00'), Timestamp('2022-11-12 09:00:00'))",0 days 00:11:53,0 days 11:48:07
"(Timestamp('2022-11-12 21:00:00'), Timestamp('2022-11-13 09:00:00'))",0 days 00:45:39,0 days 11:14:21
"(Timestamp('2022-11-13 21:00:00'), Timestamp('2022-11-14 09:00:00'))",0 days 04:01:54,0 days 07:58:06
"(Timestamp('2022-11-14 21:00:00'), Timestamp('2022-11-15 09:00:00'))",0 days 01:39:36,0 days 10:20:24
"(Timestamp('2022-11-15 21:00:00'), Timestamp('2022-11-16 09:00:00'))",0 days 00:57:41,0 days 11:02:19
"(Timestamp('2022-11-16 21:00:00'), Timestamp('2022-11-17 09:00:00'))",0 days 00:34:30,0 days 11:25:30
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 02:34:23,0 days 09:25:37
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 02:09:15,0 days 09:50:45
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 04:02:47,0 days 07:57:13
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 09:00:00'))",0 days 00:53:50,0 days 11:06:10
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 00:00:45,0 days 11:59:15
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 00:00:39,0 days 11:59:21
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 00:01:28,0 days 11:58:32
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 00:00:33,0 days 11:59:27
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 00:15:10,0 days 11:44:50
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 00:06:04,0 days 11:53:56
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
