Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-21 21:37:43'), Timestamp('2022-11-22 09:00:00'))",0 days 00:01:12,0 days 11:21:05
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 00:16:59,0 days 11:43:01
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 00:00:59,0 days 11:59:01
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 01:48:52,0 days 10:11:08
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-29 21:00:00'), Timestamp('2022-11-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 00:00:48,0 days 11:59:12
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 00:37:16,0 days 11:22:44
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 00:40:02,0 days 11:19:58
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 00:04:15,0 days 11:55:45
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 03:41:00'))",0 days 00:01:50,0 days 06:39:10
