Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 03:46:41,0 days 08:13:19
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 03:10:46,0 days 08:49:14
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 03:25:51,0 days 08:34:09
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 02:01:09,0 days 09:58:51
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 01:55:01,0 days 10:04:59
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 01:15:57,0 days 10:44:03
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 04:19:22,0 days 07:40:38
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 00:00:39,0 days 11:59:21
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 01:16:50,0 days 10:43:10
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 00:20:23,0 days 11:39:37
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 00:29:06,0 days 11:30:54
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-14 21:00:00'), Timestamp('2022-12-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-15 21:00:00'), Timestamp('2022-12-16 09:00:00'))",0 days 01:12:32,0 days 10:47:28
"(Timestamp('2022-12-16 21:00:00'), Timestamp('2022-12-17 03:30:30'))",0 days 02:00:19,0 days 04:30:11
