Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-03-09 21:00:00'), Timestamp('2023-03-10 09:00:00'))",0 days 00:00:04,0 days 11:59:56
"(Timestamp('2023-03-10 21:00:00'), Timestamp('2023-03-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-11 21:00:00'), Timestamp('2023-03-12 09:00:00'))",0 days 00:46:03,0 days 11:13:57
"(Timestamp('2023-03-12 21:00:00'), Timestamp('2023-03-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-13 21:00:00'), Timestamp('2023-03-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-14 21:00:00'), Timestamp('2023-03-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-15 21:00:00'), Timestamp('2023-03-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-16 21:00:00'), Timestamp('2023-03-17 09:00:00'))",0 days 00:00:15,0 days 11:59:45
"(Timestamp('2023-03-17 21:00:00'), Timestamp('2023-03-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-18 21:00:00'), Timestamp('2023-03-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-19 21:00:00'), Timestamp('2023-03-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-20 21:00:00'), Timestamp('2023-03-21 09:00:00'))",0 days 00:04:56,0 days 11:55:04
"(Timestamp('2023-03-21 21:00:00'), Timestamp('2023-03-22 09:00:00'))",0 days 00:21:45,0 days 11:38:15
"(Timestamp('2023-03-22 21:00:00'), Timestamp('2023-03-23 09:00:00'))",0 days 00:01:53,0 days 11:58:07
