Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-01-19 21:00:00'), Timestamp('2023-01-20 09:00:00'))",0 days 00:54:13,0 days 11:05:47
"(Timestamp('2023-01-20 21:00:00'), Timestamp('2023-01-21 09:00:00'))",0 days 00:23:49,0 days 11:36:11
"(Timestamp('2023-01-21 21:00:00'), Timestamp('2023-01-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-22 21:00:00'), Timestamp('2023-01-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-23 21:00:00'), Timestamp('2023-01-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-24 21:00:00'), Timestamp('2023-01-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-25 21:00:00'), Timestamp('2023-01-26 09:00:00'))",0 days 02:16:13,0 days 09:43:47
"(Timestamp('2023-01-26 21:00:00'), Timestamp('2023-01-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-27 21:00:00'), Timestamp('2023-01-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-28 21:00:00'), Timestamp('2023-01-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-29 21:00:00'), Timestamp('2023-01-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-30 21:00:00'), Timestamp('2023-01-31 09:00:00'))",0 days 00:10:16,0 days 11:49:44
"(Timestamp('2023-01-31 21:00:00'), Timestamp('2023-02-01 01:50:32'))",0 days 00:10:49,0 days 04:39:43
