Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-03-01 21:00:00'), Timestamp('2023-03-02 09:00:00'))",0 days 03:41:51,0 days 08:18:09
"(Timestamp('2023-03-02 21:00:00'), Timestamp('2023-03-03 09:00:00'))",0 days 06:44:14,0 days 05:15:46
"(Timestamp('2023-03-03 21:00:00'), Timestamp('2023-03-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-04 21:00:00'), Timestamp('2023-03-05 09:00:00'))",0 days 06:59:32,0 days 05:00:28
"(Timestamp('2023-03-05 21:00:00'), Timestamp('2023-03-06 09:00:00'))",0 days 00:05:05,0 days 11:54:55
"(Timestamp('2023-03-06 21:00:00'), Timestamp('2023-03-07 09:00:00'))",0 days 04:41:25,0 days 07:18:35
"(Timestamp('2023-03-07 21:00:00'), Timestamp('2023-03-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-08 21:00:00'), Timestamp('2023-03-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-09 21:00:00'), Timestamp('2023-03-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-10 21:00:00'), Timestamp('2023-03-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-11 21:00:00'), Timestamp('2023-03-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-12 21:00:00'), Timestamp('2023-03-13 09:00:00'))",0 days 03:15:19,0 days 08:44:41
"(Timestamp('2023-03-13 21:00:00'), Timestamp('2023-03-14 09:00:00'))",0 days 01:06:35,0 days 10:53:25
"(Timestamp('2023-03-14 21:00:00'), Timestamp('2023-03-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-15 21:00:00'), Timestamp('2023-03-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-16 21:00:00'), Timestamp('2023-03-17 09:00:00'))",0 days 02:13:44,0 days 09:46:16
"(Timestamp('2023-03-17 21:00:00'), Timestamp('2023-03-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-18 21:00:00'), Timestamp('2023-03-19 09:00:00'))",0 days 00:08:12,0 days 11:51:48
"(Timestamp('2023-03-19 21:00:00'), Timestamp('2023-03-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-20 21:00:00'), Timestamp('2023-03-21 09:00:00'))",0 days 00:03:48,0 days 11:56:12
"(Timestamp('2023-03-21 21:00:00'), Timestamp('2023-03-22 09:00:00'))",0 days 00:03:10,0 days 11:56:50
"(Timestamp('2023-03-22 21:00:00'), Timestamp('2023-03-23 09:00:00'))",0 days 04:22:55,0 days 07:37:05
"(Timestamp('2023-03-23 21:00:00'), Timestamp('2023-03-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-24 21:00:00'), Timestamp('2023-03-25 09:00:00'))",0 days 00:26:50,0 days 11:33:10
"(Timestamp('2023-03-25 21:00:00'), Timestamp('2023-03-26 09:00:00'))",0 days 00:00:11,0 days 11:59:49
"(Timestamp('2023-03-26 21:00:00'), Timestamp('2023-03-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-27 21:00:00'), Timestamp('2023-03-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-28 21:00:00'), Timestamp('2023-03-29 09:00:00'))",0 days 00:00:09,0 days 11:59:51
"(Timestamp('2023-03-29 21:00:00'), Timestamp('2023-03-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-30 21:00:00'), Timestamp('2023-03-31 09:00:00'))",0 days 00:02:00,0 days 11:58:00
