Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 04:57:47,0 days 07:02:13
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 05:41:53,0 days 06:18:07
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 03:22:35,0 days 08:37:25
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 09:00:00'))",0 days 02:31:23,0 days 09:28:37
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 03:56:19,0 days 08:03:41
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 03:46:04,0 days 08:13:56
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 03:22:39,0 days 08:37:21
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 03:01:46,0 days 08:58:14
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 03:01:23,0 days 08:58:37
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 00:02:48,0 days 11:57:12
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 09:00:00'))",0 days 00:28:25,0 days 11:31:35
"(Timestamp('2022-11-29 21:00:00'), Timestamp('2022-11-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 03:23:26,0 days 08:36:34
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 05:24:37,0 days 06:35:23
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 00:32:38,0 days 11:27:22
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 02:04:02,0 days 09:55:58
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 00:00:10,0 days 11:59:50
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:37:54,0 days 11:22:06
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:11:03,0 days 11:48:57
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 00:00:08,0 days 11:59:52
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 00:12:07,0 days 11:47:53
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 00:14:48,0 days 11:45:12
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 00:20:12,0 days 11:39:48
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-14 21:00:00'), Timestamp('2022-12-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-15 21:00:00'), Timestamp('2022-12-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-16 21:00:00'), Timestamp('2022-12-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-17 21:00:00'), Timestamp('2022-12-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-18 21:00:00'), Timestamp('2022-12-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-19 21:00:00'), Timestamp('2022-12-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-20 21:00:00'), Timestamp('2022-12-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-21 21:00:00'), Timestamp('2022-12-22 09:00:00'))",0 days 00:27:10,0 days 11:32:50
"(Timestamp('2022-12-22 21:00:00'), Timestamp('2022-12-22 21:51:02'))",0 days 00:28:16,0 days 00:22:46
