Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-07-12 21:00:00'), Timestamp('2023-07-13 09:00:00'))",0 days 01:44:03,0 days 10:15:57
"(Timestamp('2023-07-13 21:00:00'), Timestamp('2023-07-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-14 21:00:00'), Timestamp('2023-07-15 09:00:00'))",0 days 02:50:45,0 days 09:09:15
"(Timestamp('2023-07-15 21:00:00'), Timestamp('2023-07-16 09:00:00'))",0 days 00:10:53,0 days 11:49:07
"(Timestamp('2023-07-16 21:00:00'), Timestamp('2023-07-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-17 21:00:00'), Timestamp('2023-07-18 09:00:00'))",0 days 01:03:37,0 days 10:56:23
"(Timestamp('2023-07-18 21:00:00'), Timestamp('2023-07-19 09:00:00'))",0 days 00:16:46,0 days 11:43:14
"(Timestamp('2023-07-19 21:00:00'), Timestamp('2023-07-20 09:00:00'))",0 days 01:29:27,0 days 10:30:33
"(Timestamp('2023-07-20 21:00:00'), Timestamp('2023-07-21 09:00:00'))",0 days 00:38:36,0 days 11:21:24
"(Timestamp('2023-07-21 21:00:00'), Timestamp('2023-07-22 09:00:00'))",0 days 00:00:23,0 days 11:59:37
"(Timestamp('2023-07-22 21:00:00'), Timestamp('2023-07-23 09:00:00'))",0 days 03:51:31,0 days 08:08:29
"(Timestamp('2023-07-23 21:00:00'), Timestamp('2023-07-24 09:00:00'))",0 days 00:37:30,0 days 11:22:30
"(Timestamp('2023-07-24 21:00:00'), Timestamp('2023-07-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-25 21:00:00'), Timestamp('2023-07-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-26 21:00:00'), Timestamp('2023-07-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-27 21:00:00'), Timestamp('2023-07-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-28 21:00:00'), Timestamp('2023-07-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-29 21:00:00'), Timestamp('2023-07-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-30 21:00:00'), Timestamp('2023-07-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-31 21:00:00'), Timestamp('2023-08-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-01 21:00:00'), Timestamp('2023-08-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-02 21:00:00'), Timestamp('2023-08-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-03 21:00:00'), Timestamp('2023-08-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-04 21:00:00'), Timestamp('2023-08-05 09:00:00'))",0 days 00:28:58,0 days 11:31:02
"(Timestamp('2023-08-05 21:00:00'), Timestamp('2023-08-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-06 21:00:00'), Timestamp('2023-08-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-07 21:00:00'), Timestamp('2023-08-08 09:00:00'))",0 days 00:11:17,0 days 11:48:43
