Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-03-16 21:00:00'), Timestamp('2023-03-17 09:00:00'))",0 days 01:05:22,0 days 10:54:38
"(Timestamp('2023-03-17 21:00:00'), Timestamp('2023-03-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-18 21:00:00'), Timestamp('2023-03-19 09:00:00'))",0 days 00:50:08,0 days 11:09:52
"(Timestamp('2023-03-19 21:00:00'), Timestamp('2023-03-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-20 21:00:00'), Timestamp('2023-03-21 09:00:00'))",0 days 00:00:05,0 days 11:59:55
"(Timestamp('2023-03-21 21:00:00'), Timestamp('2023-03-22 09:00:00'))",0 days 00:31:37,0 days 11:28:23
"(Timestamp('2023-03-22 21:00:00'), Timestamp('2023-03-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-23 21:00:00'), Timestamp('2023-03-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-24 21:00:00'), Timestamp('2023-03-25 09:00:00'))",0 days 01:43:58,0 days 10:16:02
"(Timestamp('2023-03-25 21:00:00'), Timestamp('2023-03-26 09:00:00'))",0 days 01:13:46,0 days 10:46:14
"(Timestamp('2023-03-26 21:00:00'), Timestamp('2023-03-27 09:00:00'))",0 days 01:34:34,0 days 10:25:26
"(Timestamp('2023-03-27 21:00:00'), Timestamp('2023-03-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-28 21:00:00'), Timestamp('2023-03-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-29 21:00:00'), Timestamp('2023-03-30 09:00:00'))",0 days 00:49:56,0 days 11:10:04
"(Timestamp('2023-03-30 21:00:00'), Timestamp('2023-03-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-31 21:00:00'), Timestamp('2023-04-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-01 21:00:00'), Timestamp('2023-04-02 09:00:00'))",0 days 01:38:24,0 days 10:21:36
"(Timestamp('2023-04-02 21:00:00'), Timestamp('2023-04-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-04-03 21:00:00'), Timestamp('2023-04-04 09:00:00'))",0 days 02:19:49,0 days 09:40:11
"(Timestamp('2023-04-04 21:00:00'), Timestamp('2023-04-05 09:00:00'))",0 days 00:08:34,0 days 11:51:26
"(Timestamp('2023-04-05 21:00:00'), Timestamp('2023-04-06 09:00:00'))",0 days 00:20:51,0 days 11:39:09
