Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 01:27:26,0 days 10:32:34
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 00:19:38,0 days 11:40:22
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 00:25:04,0 days 11:34:56
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 00:26:52,0 days 11:33:08
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 00:08:54,0 days 11:51:06
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 04:40:17,0 days 07:19:43
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-26 21:00:00'), Timestamp('2023-02-27 09:00:00'))",0 days 02:00:27,0 days 09:59:33
"(Timestamp('2023-02-27 21:00:00'), Timestamp('2023-02-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-28 21:00:00'), Timestamp('2023-03-01 09:00:00'))",0 days 00:26:59,0 days 11:33:01
"(Timestamp('2023-03-01 21:00:00'), Timestamp('2023-03-02 09:00:00'))",0 days 00:00:52,0 days 11:59:08
"(Timestamp('2023-03-02 21:00:00'), Timestamp('2023-03-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-03 21:00:00'), Timestamp('2023-03-04 09:00:00'))",0 days 01:14:47,0 days 10:45:13
"(Timestamp('2023-03-04 21:00:00'), Timestamp('2023-03-05 09:00:00'))",0 days 00:00:01,0 days 11:59:59
"(Timestamp('2023-03-05 21:00:00'), Timestamp('2023-03-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-06 21:00:00'), Timestamp('2023-03-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-07 21:00:00'), Timestamp('2023-03-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-08 21:00:00'), Timestamp('2023-03-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
