Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-08-29 21:00:00'), Timestamp('2023-08-30 09:00:00'))",0 days 00:34:21,0 days 11:25:39
"(Timestamp('2023-08-30 21:00:00'), Timestamp('2023-08-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-31 21:00:00'), Timestamp('2023-09-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-01 21:00:00'), Timestamp('2023-09-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-02 21:00:00'), Timestamp('2023-09-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-03 21:00:00'), Timestamp('2023-09-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-09-04 21:00:00'), Timestamp('2023-09-05 09:00:00'))",0 days 00:00:46,0 days 11:59:14
"(Timestamp('2023-09-05 21:00:00'), Timestamp('2023-09-06 09:00:00'))",0 days 00:17:02,0 days 11:42:58
"(Timestamp('2023-09-06 21:00:00'), Timestamp('2023-09-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
