Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-03-09 21:00:00'), Timestamp('2023-03-10 09:00:00'))",0 days 00:11:28,0 days 11:48:32
"(Timestamp('2023-03-10 21:00:00'), Timestamp('2023-03-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-11 21:00:00'), Timestamp('2023-03-12 09:00:00'))",0 days 03:37:51,0 days 08:22:09
"(Timestamp('2023-03-12 21:00:00'), Timestamp('2023-03-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-13 21:00:00'), Timestamp('2023-03-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-14 21:00:00'), Timestamp('2023-03-15 09:00:00'))",0 days 00:14:57,0 days 11:45:03
"(Timestamp('2023-03-15 21:00:00'), Timestamp('2023-03-16 09:00:00'))",0 days 01:08:19,0 days 10:51:41
"(Timestamp('2023-03-16 21:00:00'), Timestamp('2023-03-17 09:00:00'))",0 days 00:18:56,0 days 11:41:04
"(Timestamp('2023-03-17 21:00:00'), Timestamp('2023-03-18 09:00:00'))",0 days 04:39:21,0 days 07:20:39
"(Timestamp('2023-03-18 21:00:00'), Timestamp('2023-03-19 09:00:00'))",0 days 00:00:53,0 days 11:59:07
"(Timestamp('2023-03-19 21:00:00'), Timestamp('2023-03-20 09:00:00'))",0 days 00:05:27,0 days 11:54:33
"(Timestamp('2023-03-20 21:00:00'), Timestamp('2023-03-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-21 21:00:00'), Timestamp('2023-03-22 09:00:00'))",0 days 00:14:04,0 days 11:45:56
"(Timestamp('2023-03-22 21:00:00'), Timestamp('2023-03-23 09:00:00'))",0 days 00:01:26,0 days 11:58:34
"(Timestamp('2023-03-23 21:00:00'), Timestamp('2023-03-24 09:00:00'))",0 days 00:12:24,0 days 11:47:36
"(Timestamp('2023-03-24 21:00:00'), Timestamp('2023-03-25 00:44:38'))",0 days 02:09:48,0 days 01:34:50
