Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-01 21:00:00'), Timestamp('2023-02-02 09:00:00'))",0 days 01:42:01,0 days 10:17:59
"(Timestamp('2023-02-02 21:00:00'), Timestamp('2023-02-03 09:00:00'))",0 days 01:32:24,0 days 10:27:36
"(Timestamp('2023-02-03 21:00:00'), Timestamp('2023-02-04 09:00:00'))",0 days 00:17:02,0 days 11:42:58
"(Timestamp('2023-02-04 21:00:00'), Timestamp('2023-02-05 09:00:00'))",0 days 00:03:17,0 days 11:56:43
"(Timestamp('2023-02-05 21:00:00'), Timestamp('2023-02-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-06 21:00:00'), Timestamp('2023-02-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-07 21:00:00'), Timestamp('2023-02-08 09:00:00'))",0 days 00:41:15,0 days 11:18:45
"(Timestamp('2023-02-08 21:00:00'), Timestamp('2023-02-09 09:00:00'))",0 days 00:38:55,0 days 11:21:05
"(Timestamp('2023-02-09 21:00:00'), Timestamp('2023-02-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-10 21:00:00'), Timestamp('2023-02-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-11 21:00:00'), Timestamp('2023-02-12 03:54:00'))",0 days 02:17:31,0 days 04:36:29
