Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-10-28 21:00:00'), Timestamp('2022-10-29 09:00:00'))",0 days 05:41:43,0 days 06:18:17
"(Timestamp('2022-10-29 21:00:00'), Timestamp('2022-10-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-10-30 21:00:00'), Timestamp('2022-10-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-10-31 21:00:00'), Timestamp('2022-11-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-01 21:00:00'), Timestamp('2022-11-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-02 21:00:00'), Timestamp('2022-11-03 09:00:00'))",0 days 00:01:55,0 days 11:58:05
"(Timestamp('2022-11-03 21:00:00'), Timestamp('2022-11-04 09:00:00'))",0 days 00:00:48,0 days 11:59:12
"(Timestamp('2022-11-04 21:00:00'), Timestamp('2022-11-05 09:00:00'))",0 days 01:53:58,0 days 10:06:02
"(Timestamp('2022-11-05 21:00:00'), Timestamp('2022-11-06 09:00:00'))",0 days 07:17:13,0 days 04:42:47
"(Timestamp('2022-11-06 21:00:00'), Timestamp('2022-11-07 09:00:00'))",0 days 01:50:53,0 days 10:09:07
"(Timestamp('2022-11-07 21:00:00'), Timestamp('2022-11-08 09:00:00'))",0 days 00:14:22,0 days 11:45:38
"(Timestamp('2022-11-08 21:00:00'), Timestamp('2022-11-09 09:00:00'))",0 days 01:12:49,0 days 10:47:11
"(Timestamp('2022-11-09 21:00:00'), Timestamp('2022-11-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-10 21:00:00'), Timestamp('2022-11-11 09:00:00'))",0 days 04:05:27,0 days 07:54:33
"(Timestamp('2022-11-11 21:00:00'), Timestamp('2022-11-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-12 21:00:00'), Timestamp('2022-11-13 09:00:00'))",0 days 01:54:05,0 days 10:05:55
"(Timestamp('2022-11-13 21:00:00'), Timestamp('2022-11-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-14 21:00:00'), Timestamp('2022-11-15 07:32:09'))",0 days 00:30:15,0 days 10:01:54
