Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-15 21:00:00'), Timestamp('2022-11-16 09:00:00'))",0 days 01:12:22,0 days 10:47:38
"(Timestamp('2022-11-16 21:00:00'), Timestamp('2022-11-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 00:00:53,0 days 11:59:07
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 00:03:30,0 days 11:56:30
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 00:52:29,0 days 11:07:31
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 00:56:30,0 days 11:03:30
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 00:57:18,0 days 11:02:42
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 00:44:26,0 days 11:15:34
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 01:22:24,0 days 10:37:36
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 01:22:52'))",0 days 00:33:15,0 days 03:49:37
