Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-01-25 21:00:00'), Timestamp('2023-01-26 09:00:00'))",0 days 05:55:27,0 days 06:04:33
"(Timestamp('2023-01-26 21:00:00'), Timestamp('2023-01-27 09:00:00'))",0 days 05:00:23,0 days 06:59:37
"(Timestamp('2023-01-27 21:00:00'), Timestamp('2023-01-28 09:00:00'))",0 days 08:52:45,0 days 03:07:15
"(Timestamp('2023-01-28 21:00:00'), Timestamp('2023-01-29 09:00:00'))",0 days 10:35:26,0 days 01:24:34
"(Timestamp('2023-01-29 21:00:00'), Timestamp('2023-01-30 09:00:00'))",0 days 06:47:05,0 days 05:12:55
"(Timestamp('2023-01-30 21:00:00'), Timestamp('2023-01-31 09:00:00'))",0 days 00:11:42,0 days 11:48:18
"(Timestamp('2023-01-31 21:00:00'), Timestamp('2023-02-01 09:00:00'))",0 days 02:12:33,0 days 09:47:27
"(Timestamp('2023-02-01 21:00:00'), Timestamp('2023-02-02 09:00:00'))",0 days 05:59:54,0 days 06:00:06
"(Timestamp('2023-02-02 21:00:00'), Timestamp('2023-02-03 09:00:00'))",0 days 07:09:17,0 days 04:50:43
"(Timestamp('2023-02-03 21:00:00'), Timestamp('2023-02-04 09:00:00'))",0 days 00:39:57,0 days 11:20:03
"(Timestamp('2023-02-04 21:00:00'), Timestamp('2023-02-05 09:00:00'))",0 days 03:43:38,0 days 08:16:22
"(Timestamp('2023-02-05 21:00:00'), Timestamp('2023-02-06 09:00:00'))",0 days 03:32:23,0 days 08:27:37
"(Timestamp('2023-02-06 21:00:00'), Timestamp('2023-02-07 09:00:00'))",0 days 03:48:31,0 days 08:11:29
"(Timestamp('2023-02-07 21:00:00'), Timestamp('2023-02-08 09:00:00'))",0 days 04:19:51,0 days 07:40:09
"(Timestamp('2023-02-08 21:00:00'), Timestamp('2023-02-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-09 21:00:00'), Timestamp('2023-02-09 22:31:08'))",0 days 00:48:44,0 days 00:42:24
