Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-08-08 21:00:00'), Timestamp('2023-08-09 09:00:00'))",0 days 00:33:59,0 days 11:26:01
"(Timestamp('2023-08-09 21:00:00'), Timestamp('2023-08-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-10 21:00:00'), Timestamp('2023-08-11 09:00:00'))",0 days 02:15:13,0 days 09:44:47
"(Timestamp('2023-08-11 21:00:00'), Timestamp('2023-08-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-12 21:00:00'), Timestamp('2023-08-13 09:00:00'))",0 days 00:52:04,0 days 11:07:56
"(Timestamp('2023-08-13 21:00:00'), Timestamp('2023-08-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-14 21:00:00'), Timestamp('2023-08-15 09:00:00'))",0 days 00:01:50,0 days 11:58:10
"(Timestamp('2023-08-15 21:00:00'), Timestamp('2023-08-16 09:00:00'))",0 days 00:43:52,0 days 11:16:08
"(Timestamp('2023-08-16 21:00:00'), Timestamp('2023-08-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-17 21:00:00'), Timestamp('2023-08-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-18 21:00:00'), Timestamp('2023-08-19 09:00:00'))",0 days 00:35:50,0 days 11:24:10
"(Timestamp('2023-08-19 21:00:00'), Timestamp('2023-08-20 09:00:00'))",0 days 01:06:31,0 days 10:53:29
"(Timestamp('2023-08-20 21:00:00'), Timestamp('2023-08-21 09:00:00'))",0 days 00:13:09,0 days 11:46:51
"(Timestamp('2023-08-21 21:00:00'), Timestamp('2023-08-22 09:00:00'))",0 days 00:49:29,0 days 11:10:31
"(Timestamp('2023-08-22 21:00:00'), Timestamp('2023-08-23 09:00:00'))",0 days 00:06:58,0 days 11:53:02
"(Timestamp('2023-08-23 21:00:00'), Timestamp('2023-08-24 09:00:00'))",0 days 01:31:18,0 days 10:28:42
"(Timestamp('2023-08-24 21:00:00'), Timestamp('2023-08-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-25 21:00:00'), Timestamp('2023-08-26 09:00:00'))",0 days 00:15:48,0 days 11:44:12
"(Timestamp('2023-08-26 21:00:00'), Timestamp('2023-08-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-27 21:00:00'), Timestamp('2023-08-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-28 21:00:00'), Timestamp('2023-08-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-29 21:00:00'), Timestamp('2023-08-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-30 21:00:00'), Timestamp('2023-08-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-31 21:00:00'), Timestamp('2023-09-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
