Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-02 21:07:11'), Timestamp('2023-02-03 09:00:00'))",0 days 02:55:25,0 days 08:57:24
"(Timestamp('2023-02-03 21:00:00'), Timestamp('2023-02-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-04 21:00:00'), Timestamp('2023-02-05 09:00:00'))",0 days 00:14:56,0 days 11:45:04
"(Timestamp('2023-02-05 21:00:00'), Timestamp('2023-02-06 09:00:00'))",0 days 03:07:53,0 days 08:52:07
"(Timestamp('2023-02-06 21:00:00'), Timestamp('2023-02-07 09:00:00'))",0 days 00:00:35,0 days 11:59:25
"(Timestamp('2023-02-07 21:00:00'), Timestamp('2023-02-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-08 21:00:00'), Timestamp('2023-02-09 09:00:00'))",0 days 00:12:29,0 days 11:47:31
"(Timestamp('2023-02-09 21:00:00'), Timestamp('2023-02-10 09:00:00'))",0 days 01:02:47,0 days 10:57:13
"(Timestamp('2023-02-10 21:00:00'), Timestamp('2023-02-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
