Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-01-25 21:00:00'), Timestamp('2023-01-26 09:00:00'))",0 days 00:01:45,0 days 11:58:15
"(Timestamp('2023-01-26 21:00:00'), Timestamp('2023-01-27 09:00:00'))",0 days 00:00:37,0 days 11:59:23
"(Timestamp('2023-01-27 21:00:00'), Timestamp('2023-01-28 09:00:00'))",0 days 01:47:42,0 days 10:12:18
"(Timestamp('2023-01-28 21:00:00'), Timestamp('2023-01-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-01-29 21:00:00'), Timestamp('2023-01-30 09:00:00'))",0 days 01:10:37,0 days 10:49:23
"(Timestamp('2023-01-30 21:00:00'), Timestamp('2023-01-31 09:00:00'))",0 days 00:02:46,0 days 11:57:14
"(Timestamp('2023-01-31 21:00:00'), Timestamp('2023-02-01 09:00:00'))",0 days 00:00:51,0 days 11:59:09
"(Timestamp('2023-02-01 21:00:00'), Timestamp('2023-02-02 09:00:00'))",0 days 00:00:56,0 days 11:59:04
"(Timestamp('2023-02-02 21:00:00'), Timestamp('2023-02-03 09:00:00'))",0 days 00:39:47,0 days 11:20:13
"(Timestamp('2023-02-03 21:00:00'), Timestamp('2023-02-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-04 21:00:00'), Timestamp('2023-02-05 09:00:00'))",0 days 00:35:25,0 days 11:24:35
"(Timestamp('2023-02-05 21:00:00'), Timestamp('2023-02-06 09:00:00'))",0 days 00:23:48,0 days 11:36:12
"(Timestamp('2023-02-06 21:00:00'), Timestamp('2023-02-07 09:00:00'))",0 days 00:03:03,0 days 11:56:57
"(Timestamp('2023-02-07 21:00:00'), Timestamp('2023-02-08 09:00:00'))",0 days 00:18:27,0 days 11:41:33
"(Timestamp('2023-02-08 21:00:00'), Timestamp('2023-02-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-09 21:00:00'), Timestamp('2023-02-10 09:00:00'))",0 days 00:37:41,0 days 11:22:19
"(Timestamp('2023-02-10 21:00:00'), Timestamp('2023-02-11 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-11 21:00:00'), Timestamp('2023-02-11 21:10:54'))",0 days 00:00:50,0 days 00:10:04
