Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 04:55:59,0 days 07:04:01
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 04:19:26,0 days 07:40:34
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 07:13:15,0 days 04:46:45
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 03:54:06,0 days 08:05:54
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 04:24:51,0 days 07:35:09
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 03:37:11,0 days 08:22:49
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 04:45:13,0 days 07:14:47
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:00:49,0 days 11:59:11
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 04:21:50,0 days 07:38:10
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 08:44:35,0 days 03:15:25
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 04:27:39,0 days 07:32:21
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 09:00:00'))",0 days 04:32:22,0 days 07:27:38
"(Timestamp('2022-12-13 21:00:00'), Timestamp('2022-12-14 09:00:00'))",0 days 05:41:28,0 days 06:18:32
"(Timestamp('2022-12-14 21:00:00'), Timestamp('2022-12-15 09:00:00'))",0 days 02:26:28,0 days 09:33:32
"(Timestamp('2022-12-15 21:00:00'), Timestamp('2022-12-16 09:00:00'))",0 days 00:06:50,0 days 11:53:10
"(Timestamp('2022-12-16 21:00:00'), Timestamp('2022-12-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-17 21:00:00'), Timestamp('2022-12-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-18 21:00:00'), Timestamp('2022-12-19 09:00:00'))",0 days 00:59:04,0 days 11:00:56
"(Timestamp('2022-12-19 21:00:00'), Timestamp('2022-12-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-20 21:00:00'), Timestamp('2022-12-21 09:00:00'))",0 days 02:49:17,0 days 09:10:43
"(Timestamp('2022-12-21 21:00:00'), Timestamp('2022-12-22 09:00:00'))",0 days 00:17:30,0 days 11:42:30
"(Timestamp('2022-12-22 21:00:00'), Timestamp('2022-12-23 09:00:00'))",0 days 01:05:59,0 days 10:54:01
"(Timestamp('2022-12-23 21:00:00'), Timestamp('2022-12-24 07:15:03'))",0 days 00:16:40,0 days 09:58:23
