Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 04:51:34,0 days 07:08:26
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 04:24:36,0 days 07:35:24
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 09:02:27,0 days 02:57:33
"(Timestamp('2023-02-26 21:00:00'), Timestamp('2023-02-27 09:00:00'))",0 days 03:36:14,0 days 08:23:46
"(Timestamp('2023-02-27 21:00:00'), Timestamp('2023-02-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-28 21:00:00'), Timestamp('2023-03-01 09:00:00'))",0 days 01:42:57,0 days 10:17:03
"(Timestamp('2023-03-01 21:00:00'), Timestamp('2023-03-02 09:00:00'))",0 days 00:03:50,0 days 11:56:10
"(Timestamp('2023-03-02 21:00:00'), Timestamp('2023-03-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-03 21:00:00'), Timestamp('2023-03-04 09:00:00'))",0 days 00:05:39,0 days 11:54:21
"(Timestamp('2023-03-04 21:00:00'), Timestamp('2023-03-05 09:00:00'))",0 days 02:11:00,0 days 09:49:00
"(Timestamp('2023-03-05 21:00:00'), Timestamp('2023-03-06 09:00:00'))",0 days 01:57:37,0 days 10:02:23
"(Timestamp('2023-03-06 21:00:00'), Timestamp('2023-03-07 09:00:00'))",0 days 03:17:16,0 days 08:42:44
"(Timestamp('2023-03-07 21:00:00'), Timestamp('2023-03-08 09:00:00'))",0 days 01:04:24,0 days 10:55:36
"(Timestamp('2023-03-08 21:00:00'), Timestamp('2023-03-09 09:00:00'))",0 days 00:00:01,0 days 11:59:59
"(Timestamp('2023-03-09 21:00:00'), Timestamp('2023-03-10 09:00:00'))",0 days 02:17:53,0 days 09:42:07
"(Timestamp('2023-03-10 21:00:00'), Timestamp('2023-03-11 09:00:00'))",0 days 00:27:27,0 days 11:32:33
"(Timestamp('2023-03-11 21:00:00'), Timestamp('2023-03-12 09:00:00'))",0 days 00:06:43,0 days 11:53:17
