Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 06:33:32,0 days 05:26:28
"(Timestamp('2022-12-01 21:00:00'), Timestamp('2022-12-02 09:00:00'))",0 days 03:12:39,0 days 08:47:21
"(Timestamp('2022-12-02 21:00:00'), Timestamp('2022-12-03 09:00:00'))",0 days 05:37:37,0 days 06:22:23
"(Timestamp('2022-12-03 21:00:00'), Timestamp('2022-12-04 09:00:00'))",0 days 07:27:51,0 days 04:32:09
"(Timestamp('2022-12-04 21:00:00'), Timestamp('2022-12-05 09:00:00'))",0 days 01:38:42,0 days 10:21:18
"(Timestamp('2022-12-05 21:00:00'), Timestamp('2022-12-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-06 21:00:00'), Timestamp('2022-12-07 09:00:00'))",0 days 03:33:45,0 days 08:26:15
"(Timestamp('2022-12-07 21:00:00'), Timestamp('2022-12-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-08 21:00:00'), Timestamp('2022-12-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-12-09 21:00:00'), Timestamp('2022-12-10 09:00:00'))",0 days 03:27:44,0 days 08:32:16
"(Timestamp('2022-12-10 21:00:00'), Timestamp('2022-12-11 09:00:00'))",0 days 07:10:03,0 days 04:49:57
"(Timestamp('2022-12-11 21:00:00'), Timestamp('2022-12-12 09:00:00'))",0 days 01:13:43,0 days 10:46:17
"(Timestamp('2022-12-12 21:00:00'), Timestamp('2022-12-13 00:03:27'))",0 days 00:00:10,0 days 03:03:17
