Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-06-20 23:07:58'), Timestamp('2023-06-21 09:00:00'))",0 days 00:08:36,0 days 09:43:26
"(Timestamp('2023-06-21 21:00:00'), Timestamp('2023-06-22 09:00:00'))",0 days 00:10:25,0 days 11:49:35
"(Timestamp('2023-06-22 21:00:00'), Timestamp('2023-06-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-23 21:00:00'), Timestamp('2023-06-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-24 21:00:00'), Timestamp('2023-06-25 09:00:00'))",0 days 00:09:09,0 days 11:50:51
"(Timestamp('2023-06-25 21:00:00'), Timestamp('2023-06-26 09:00:00'))",0 days 00:49:13,0 days 11:10:47
"(Timestamp('2023-06-26 21:00:00'), Timestamp('2023-06-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-27 21:00:00'), Timestamp('2023-06-28 09:00:00'))",0 days 00:00:01,0 days 11:59:59
"(Timestamp('2023-06-28 21:00:00'), Timestamp('2023-06-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-06-29 21:00:00'), Timestamp('2023-06-30 09:00:00'))",0 days 00:00:02,0 days 11:59:58
"(Timestamp('2023-06-30 21:00:00'), Timestamp('2023-07-01 09:00:00'))",0 days 00:21:23,0 days 11:38:37
"(Timestamp('2023-07-01 21:00:00'), Timestamp('2023-07-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-02 21:00:00'), Timestamp('2023-07-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-03 21:00:00'), Timestamp('2023-07-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-04 21:00:00'), Timestamp('2023-07-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-05 21:00:00'), Timestamp('2023-07-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-06 21:00:00'), Timestamp('2023-07-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-07 21:00:00'), Timestamp('2023-07-08 09:00:00'))",0 days 00:00:10,0 days 11:59:50
"(Timestamp('2023-07-08 21:00:00'), Timestamp('2023-07-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-09 21:00:00'), Timestamp('2023-07-10 09:00:00'))",0 days 00:29:14,0 days 11:30:46
"(Timestamp('2023-07-10 21:00:00'), Timestamp('2023-07-11 09:00:00'))",0 days 00:13:19,0 days 11:46:41
"(Timestamp('2023-07-11 21:00:00'), Timestamp('2023-07-12 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-12 21:00:00'), Timestamp('2023-07-13 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-13 21:00:00'), Timestamp('2023-07-14 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-14 21:00:00'), Timestamp('2023-07-15 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-15 21:00:00'), Timestamp('2023-07-16 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-16 21:00:00'), Timestamp('2023-07-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-17 21:00:00'), Timestamp('2023-07-18 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-18 21:00:00'), Timestamp('2023-07-19 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-19 21:00:00'), Timestamp('2023-07-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-20 21:00:00'), Timestamp('2023-07-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-21 21:00:00'), Timestamp('2023-07-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-22 21:00:00'), Timestamp('2023-07-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-23 21:00:00'), Timestamp('2023-07-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-24 21:00:00'), Timestamp('2023-07-25 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-25 21:00:00'), Timestamp('2023-07-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-26 21:00:00'), Timestamp('2023-07-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-27 21:00:00'), Timestamp('2023-07-28 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-28 21:00:00'), Timestamp('2023-07-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-29 21:00:00'), Timestamp('2023-07-30 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-30 21:00:00'), Timestamp('2023-07-31 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-07-31 21:00:00'), Timestamp('2023-08-01 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-01 21:00:00'), Timestamp('2023-08-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-02 21:00:00'), Timestamp('2023-08-03 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-03 21:00:00'), Timestamp('2023-08-04 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-04 21:00:00'), Timestamp('2023-08-05 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-05 21:00:00'), Timestamp('2023-08-06 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-06 21:00:00'), Timestamp('2023-08-07 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-07 21:00:00'), Timestamp('2023-08-08 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-08 21:00:00'), Timestamp('2023-08-09 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-08-09 21:00:00'), Timestamp('2023-08-10 09:00:00'))",0 days 00:00:00,0 days 12:00:00
