Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2023-02-16 21:00:00'), Timestamp('2023-02-17 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-17 21:00:00'), Timestamp('2023-02-18 09:00:00'))",0 days 01:54:27,0 days 10:05:33
"(Timestamp('2023-02-18 21:00:00'), Timestamp('2023-02-19 09:00:00'))",0 days 00:40:42,0 days 11:19:18
"(Timestamp('2023-02-19 21:00:00'), Timestamp('2023-02-20 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-20 21:00:00'), Timestamp('2023-02-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-21 21:00:00'), Timestamp('2023-02-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-22 21:00:00'), Timestamp('2023-02-23 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-23 21:00:00'), Timestamp('2023-02-24 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-24 21:00:00'), Timestamp('2023-02-25 09:00:00'))",0 days 01:22:00,0 days 10:38:00
"(Timestamp('2023-02-25 21:00:00'), Timestamp('2023-02-26 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-26 21:00:00'), Timestamp('2023-02-27 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-02-27 21:00:00'), Timestamp('2023-02-28 09:00:00'))",0 days 00:09:04,0 days 11:50:56
"(Timestamp('2023-02-28 21:00:00'), Timestamp('2023-03-01 09:00:00'))",0 days 00:49:36,0 days 11:10:24
"(Timestamp('2023-03-01 21:00:00'), Timestamp('2023-03-02 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2023-03-02 21:00:00'), Timestamp('2023-03-03 02:31:53'))",0 days 00:58:09,0 days 04:33:44
