Daily Window,Daily Active Time,Daily Inactive Time
"(Timestamp('2022-11-15 21:00:00'), Timestamp('2022-11-16 09:00:00'))",0 days 00:29:54,0 days 11:30:06
"(Timestamp('2022-11-16 21:00:00'), Timestamp('2022-11-17 09:00:00'))",0 days 02:33:33,0 days 09:26:27
"(Timestamp('2022-11-17 21:00:00'), Timestamp('2022-11-18 09:00:00'))",0 days 02:45:51,0 days 09:14:09
"(Timestamp('2022-11-18 21:00:00'), Timestamp('2022-11-19 09:00:00'))",0 days 00:25:59,0 days 11:34:01
"(Timestamp('2022-11-19 21:00:00'), Timestamp('2022-11-20 09:00:00'))",0 days 00:54:23,0 days 11:05:37
"(Timestamp('2022-11-20 21:00:00'), Timestamp('2022-11-21 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-21 21:00:00'), Timestamp('2022-11-22 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-22 21:00:00'), Timestamp('2022-11-23 09:00:00'))",0 days 00:28:17,0 days 11:31:43
"(Timestamp('2022-11-23 21:00:00'), Timestamp('2022-11-24 09:00:00'))",0 days 01:03:24,0 days 10:56:36
"(Timestamp('2022-11-24 21:00:00'), Timestamp('2022-11-25 09:00:00'))",0 days 01:24:54,0 days 10:35:06
"(Timestamp('2022-11-25 21:00:00'), Timestamp('2022-11-26 09:00:00'))",0 days 02:16:07,0 days 09:43:53
"(Timestamp('2022-11-26 21:00:00'), Timestamp('2022-11-27 09:00:00'))",0 days 01:27:30,0 days 10:32:30
"(Timestamp('2022-11-27 21:00:00'), Timestamp('2022-11-28 09:00:00'))",0 days 01:35:07,0 days 10:24:53
"(Timestamp('2022-11-28 21:00:00'), Timestamp('2022-11-29 09:00:00'))",0 days 00:00:00,0 days 12:00:00
"(Timestamp('2022-11-29 21:00:00'), Timestamp('2022-11-30 09:00:00'))",0 days 00:00:02,0 days 11:59:58
"(Timestamp('2022-11-30 21:00:00'), Timestamp('2022-12-01 09:00:00'))",0 days 01:57:29,0 days 10:02:31
